TransType,TransDate,PostDate,Description,Amount,Category
RETURN,12/08/2015,12/10/2015,"Audible US",4.95,Entertainment
SALE,12/24/2015,12/25/2015,"BIRDWATCHERS",-51.89,Shopping
SALE,12/10/2015,12/11/2015,"Audible US",-5.24,Entertainment
SALE,12/29/2015,12/30/2015,"THE FRESH MARKET,",-4.60,Grocery
SALE,12/21/2015,12/21/2015,"AMAZON MKTPLACE PMTS",-17.72,Shopping
SALE,12/09/2015,12/09/2015,"AMAZON MKTPLACE PMTS",-7.99,Shopping
SALE,12/26/2015,12/28/2015,"REGAL COMMONWEALTH 20",-34.00,Entertainment
SALE,12/20/2015,12/21/2015,"Amazon.com",-45.02,Shopping
SALE,12/19/2015,12/20/2015,"Amazon.com",-38.95,Shopping
SALE,12/08/2015,12/08/2015,"AMAZON MKTPLACE PMTS",-7.90,Shopping
SALE,12/29/2015,12/30/2015,"TRACTOR SUPPLY",-19.25,Shopping
SALE,12/15/2015,12/16/2015,"Audible US",-10.49,Entertainment
SALE,12/18/2015,12/18/2015,"APL* ITUNES.COM/BILL",-9.70,Entertainment
SALE,12/10/2015,12/11/2015,"Audible US",-3.47,Entertainment
SALE,12/24/2015,12/25/2015,"JO-ANN STORE",-120.00,Shopping
SALE,12/26/2015,12/28/2015,"CHEF GEOFF",-42.93,Restaurant
SALE,12/17/2015,12/18/2015,"COUNTY WASTE",-18.00,Utilities
SALE,12/16/2015,12/16/2015,"AMAZON MKTPLACE PMTS",-39.99,Shopping
SALE,12/24/2015,12/25/2015,"WM SUPERCENTER",-20.13,Grocery
SALE,12/19/2015,12/20/2015,"Amazon.com",-5.48,Shopping
SALE,12/10/2015,12/11/2015,"WAL-MART",-25.52,Grocery
SALE,12/09/2015,12/10/2015,"PEDIATRICS",-20.00,Health
SALE,12/20/2015,12/21/2015,"WM SUPERCENTER",-171.98,Grocery
SALE,12/09/2015,12/10/2015,"WALGREENS",-107.35,Health
SALE,12/10/2015,12/11/2015,"AMAZON MKTPLACE PMTS",-7.90,Shopping
SALE,12/24/2015,12/27/2015,"JIMMY JOHNS",-13.95,Restaurant
SALE,12/20/2015,12/21/2015,"AMAZON MKTPLACE PMTS",-25.99,Shopping
SALE,12/05/2015,12/07/2015,"UNITED",-200.00,Travel
SALE,12/21/2015,12/22/2015,"AMAZON MKTPLACE PMTS",-36.11,Shopping
SALE,12/07/2015,12/08/2015,"Audible US",-11.95,Entertainment
SALE,12/21/2015,12/22/2015,"Audible US",-1.73,Entertainment
SALE,12/12/2015,12/13/2015,"APL* ITUNES.COM/BILL",-7.72,Entertainment
RETURN,12/24/2015,12/29/2015,"REGAL WESTCHESTER 16",34.00,Entertainment
SALE,12/12/2015,12/13/2015,"AMAZON MKTPLACE PMTS",-53.81,Shopping
SALE,12/24/2015,12/25/2015,"BABIES R US",-32.08,Shopping
SALE,12/18/2015,12/20/2015,"HARDEES",-5.84,Restaurant
SALE,12/22/2015,12/24/2015,"TIFFANY & CO",-157.95,Shopping
SALE,12/16/2015,12/17/2015,"PEDIATRICS",-20.00,Health
RETURN,12/08/2015,12/09/2015,"Audible US",11.91,Entertainment
SALE,12/13/2015,12/15/2015,"THE HOME DEPOT",-111.92,Shopping
SALE,12/08/2015,12/09/2015,"AMAZON MKTPLACE PMTS",-21.66,Shopping
SALE,12/20/2015,12/21/2015,"AMAZON MKTPLACE PMTS",-8.99,Shopping
SALE,12/07/2015,12/08/2015,"TRACTOR SUPPLY",-27.15,Grocery
PAYMENT,12/29/2015,12/29/2015,"Payment Thank You-Mobile",281.00,Payment
SALE,12/16/2015,12/16/2015,"AMAZON MKTPLACE PMTS",-6.76,Shopping
SALE,12/23/2015,12/25/2015,"7-ELEVEN",-1.73,Gas/Car
SALE,12/26/2015,12/28/2015,"EXXONMOBIL",-26.31,Gas/Car
SALE,12/16/2015,12/16/2015,"AMAZON MKTPLACE PMTS",-33.31,Shopping
SALE,12/05/2015,12/06/2015,"SQ *GATHERED GOSQ.COM",-143.64,Shopping
SALE,12/02/2015,12/03/2015,"NETFLIX.COM",-7.99,Entertainment
SALE,12/20/2015,12/21/2015,"AMAZON MKTPLACE PMTS",-9.03,Shopping
SALE,12/18/2015,12/20/2015,"BP",-26.98,Gas/Car
SALE,12/20/2015,12/22/2015,"TOYOTA",-320,Gas/Car
SALE,12/28/2015,12/29/2015,"WAL-MART",-113.90,Grocery
SALE,12/14/2015,12/15/2015,"AMAZON MKTPLACE PMTS",-42.99,Shopping
SALE,12/15/2015,12/15/2015,"AMAZON MKTPLACE PMTS",-39.60,Shopping
SALE,12/15/2015,12/15/2015,"Amazon.com",-10.44,Shopping
SALE,12/03/2015,12/04/2015,"VZWRLSS*APOCC VISE",-221.77,Utilities
SALE,12/03/2015,12/04/2015,"OLIVE GARDEN",-121.77,Restaurant
SALE,12/31/2015,01/03/2016,"TACO BELL",-3.66,Restaurant
SALE,12/24/2015,12/27/2015,"SHELL OIL",-39.80,Gas/Car
SALE,12/23/2015,12/24/2015,"MCDONALD'S",-10.26,Restaurant
RETURN,12/08/2015,12/09/2015,"Audible US",10.22,Entertainment
SALE,12/10/2015,12/11/2015,"Audible US",-6.99,Entertainment
SALE,12/27/2015,12/28/2015,"KRISPY KREME",-11.49,Restaurant
SALE,12/20/2015,12/21/2015,"Amazon.com",-21.74,Shopping
SALE,12/20/2015,12/21/2015,"Amazon.com",-6.45,Shopping
SALE,12/23/2015,12/24/2015,"THE FRESH MARKET,",-12.59,Grocery
SALE,12/04/2015,12/06/2015,"Amazon.com",-8.90,Shopping
SALE,12/21/2015,12/22/2015,"Audible",-14.95,Entertainment
SALE,12/24/2015,12/25/2015,"TARGET",-39.39,Shopping
SALE,12/10/2015,12/11/2015,"Audible US",-7.47,Entertainment
SALE,12/05/2015,12/07/2015,"UNITED",-99.00,Travel
SALE,12/09/2015,12/10/2015,"WM SUPERCENTER",-5.20,Grocery
SALE,12/05/2015,12/07/2015,"UNITED",-172.00,Travel
SALE,12/23/2015,12/24/2015,"PANERA BREAD",-37.79,Restaurant
SALE,12/21/2015,12/22/2015,"AMAZON MKTPLACE PMTS",-9.46,Shopping
SALE,12/05/2015,12/07/2015,"BALANCE BEHAVIORAL HEALTH",-20.00,Health
SALE,12/24/2015,12/25/2015,"JO-ANN STORE",-120.00,Shopping
PAYMENT,12/10/2015,12/10/2015,"Payment Thank You-Mobile",198.00,Payment
SALE,12/17/2015,12/18/2015,"STARBUCKS CARD RELOAD",-25.00,Restaurant
SALE,12/19/2015,12/20/2015,"AMAZON MKTPLACE PMTS",-56.98,Shopping
SALE,12/20/2015,12/21/2015,"AMAZON MKTPLACE PMTS",-16.86,Shopping
SALE,12/23/2015,12/24/2015,"TARGET",-85.91,Shopping
SALE,12/19/2015,12/21/2015,"RIO CARWASH",-3.00,Gas/Car
SALE,12/12/2015,12/13/2015,"AMAZON MKTPLACE PMTS",-13.98,Shopping
SALE,12/15/2015,12/16/2015,"AMAZON MKTPLACE PMTS",-6.76,Shopping
SALE,12/14/2015,12/15/2015,"AMAZON MKTPLACE PMTS",-51.14,Shopping
SALE,12/27/2015,12/28/2015,"SFO LOT D",-90.00,Travel
SALE,12/21/2015,12/22/2015,"AMAZON MKTPLACE PMTS",-45.00,Shopping
SALE,12/21/2015,12/22/2015,"MCDONALD'S",-4.21,Restaurant
SALE,12/29/2015,12/30/2015,"BP",-37.28,Gas/Car
SALE,12/13/2015,12/14/2015,"TARGET",-78.57,Shopping
SALE,12/07/2015,12/08/2015,"BP",-28.63,Gas/Car
SALE,12/12/2015,12/14/2015,"BALANCE BEHAVIORAL HEALTH",-20.00,Health
SALE,12/30/2015,12/31/2015,"THE FRESH MARKET,",-5.25,Grocery
SALE,12/26/2015,12/28/2015,"REGAL COMMONWEALTH 20",-84.59,Entertainment
SALE,12/14/2015,12/16/2015,"SWEET FROG HANCOCK",-15.23,Restaurant
SALE,12/24/2015,12/25/2015,"WAL-MART",-8.88,Grocery
SALE,12/19/2015,12/20/2015,"AMAZON MKTPLACE PMTS",-12.99,Shopping
SALE,12/24/2015,12/25/2015,"REGAL WESTCHESTER 16",-34.00,Entertainment
SALE,12/31/2015,01/01/2016,"WASABI JAPANESE RESTAURAN",-11.97,Restaurant
SALE,12/22/2015,12/23/2015,"Payment Thank You-Mobile",394.43,Payment
SALE,12/20/2015,12/22/2015,"BOOKS INC",-35.78,Entertainment
SALE,12/09/2015,12/09/2015,"AMAZON MKTPLACE PMTS",-8.12,Shopping
SALE,12/31/2015,01/01/2016,"7-ELEVEN",-3.67,Gas/Car
SALE,12/22/2015,12/23/2015,"GOODYEAR ASC",-30.30,Gas/Car
SALE,12/14/2015,12/15/2015,"WM SUPERCENTER",-10.46,Grocery
SALE,12/24/2015,12/27/2015,"SUBWAY",-7.46,Restaurant
SALE,12/19/2015,12/21/2015,"AVA'S DOWNTOWN MARKET",-33.32,Grocery
SALE,12/22/2015,12/23/2015,"BP",-26.49,Gas/Car
SALE,12/27/2015,12/28/2015,"MCDONALD'S",-3.62,Restaurant
SALE,12/17/2015,12/17/2015,"AMAZON MKTPLACE PMTS",-19.99,Shopping
SALE,12/08/2015,12/10/2015,"HAMPTON INN",-320.00,Travel
SALE,12/07/2015,12/09/2015,"Payment Thank You-Mobile",375.00,Payment
